"trait","component","pct_var"
"Chlreabs","Unexplained",60.39833
"Chlreabs","QTL",6.1175
"Chlreabs","Family and/or hybrid index",17.21
"Chlreabs","Environment",26.9983
"GR","Unexplained",42.01643
"GR","QTL",2.99
"GR","Family and/or hybrid index",5.4155
"GR","Environment",24.8796
"Nreabs","Unexplained",37.24401
"Nreabs","QTL",5.4703
"Nreabs","Family and/or hybrid index",11.9664
"Nreabs","Environment",16.4349
"SD","Unexplained",63.57158
"SD","QTL",26.16434
"SD","Family and/or hybrid index",0
"SD","Environment",13.73314
"tough","Unexplained",54.48381
"tough","QTL",7.9519
"tough","Family and/or hybrid index",27.522
"tough","Environment",28.9332
